Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
File Handling,கோப்பு மேலாண்மை,Working with files to read or write data.,Opening a text file.,கோப்புகளை திறந்து தரவை பயன்படுத்தும் முறை.,notes file வாசித்தல்.,https://miro.medium.com/1*siXqQ6ZQsgo9yN_zMxbohg.png,Python
Finally,இறுதி செயல்பாடு,Block that always executes whether exception occurs or not.,Closing file connection.,பிழை இருந்தாலும் இல்லையெனினும் இயங்கும் code பகுதி.,file close செய்தல்.,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAACoCAMAAABt9SM9AAABAlBMVEXG2/YAAAD24cbL4PzN4//J3vrQ5v/44cPE2/ioutHF2vVfaXa+0uzn39bU3en/6s7w4MxXYGyyxd2Mm65ncoCFk6Whssh0gJCUpLhve4q5zeZ/jZ7T6f9SW2auwNiaqr+lts1KUlx5hpZDSlNxfYxcZnIsMTc5P0czOD89REz/8dSBdmgUFhkgIygmKi/m0rmll4Xc3uHOvKa+rpkODxHO3O/Xxa1zaV1IQjpVTUQZHB/Z8P/HtqAjIBxhWU4wLCevoIyShnZDwv2Y0fm1vcdZUUhqXk5MQjTJzdWNgXK2rqN8cWQ8NzE9NCYbFxGgkHsVDACqopp2yvuPz/kXvf6u2PpNrzZuAAAejElEQVR4nO19CXvbuJIt4QIYk0RfhQS476RWd2wnjuMkjuMsPT0zmeR1v9f39f//K1MgRVmSZcextfjOpPJZFiVFPC4UCqcKQEHTfspP+Sk/5af8lJ/yU37KxgUo/mO7RtEJg8eD5Zow0y8HaZrRXQNpBEzhVwV9pOoCY2KgZZlSPgZt0arMnSyeRI9SWyyq22akQX/32qJS6Aw7IqsfpbZo3aGilrNrgKwIpw3GJrtvuWvCHB/wl8nxgVuwYzQ0xeYyIwQDcbHrlrsuIBQo85nHFNRdtyYtKTbfRELXiI9LwM2YUlmuHge7xtc0FxWoLI3LXYO5LqyxLBZcWdb+gmwXTWNZRp2iZWUVLGPZBaIFYU5ftSBTDiLCxtzff/WPOXm1XWww4AoLIqL9jO3v/+O6bBnRotDanD7T7Ujb154+WZCnWwXDnFRvn/CS7v/jySrZLqIliSZtdKELNPz9vSV58nSrLQlCYuDFaDQytVdPlsHsAtGisGxcIIPnA59q2JjXsG3X7qlX+4GwLY3t/7JSV1tHtCiMxenAthz07vsvnpwdL0H7x3ahMerknqmwPG0BnJCPu0W0JEChjfT3XxyQj729HspeD3Gppz8MjT2QTbL2C/afPlEw9s7IyxbQ7HG3ypoJ+zdC3r85uPx0+fvH92e9l+9PPvz7j0JjQb4W7r3/9OwNef+yh8rqvSbkS6/3nJDLvd6b/3jxOJS1/59fyOvnB2/Ity975PXB76T37fWPK+toLYHA/lPy9uQLOUNlXZCXL8nZR/L85MObg7e/PxZlvTjGbth7c3rQ6/1Kjsmn3n26IeHrwML+i1x+/Uo+obKOCfn17OAt+fXrW3L8aLrh/osz8vGg9+Yb+oZj8oEc38ed0rG3jn6Iyvr08uXHE+Wzji9ek7NLcoHXd0O0jVAJR0NC3hx8U8pCR/F7b4/8nx9X1sBdB9b9p3+c/omW1HTDXz+px8tPCI6Q73fDKN6CthR1+PVr79MnpawTNQx9/fOHlQVhtR5l7f365vVZ7/j1Se/j27fPe72Lyzef9npfvnxfWZyY3/vIGgC+eLKnWIOiDZd/EKWyH6eA61NWQxVaDtObPd7FZ9FJsI1s2IzB935/fdY8uY6M3T77AnItnUA13GoGv4CIsRW8DqpwG/0Qg9dOWz189mSFYUHkereRA2qvxWdp+788WaGuJwv+nYJjGA4sw2FBuY085v6rF7/MyQvtmq5YTggZ3uITaL0eVoot98t1mUcEXJJGJF9sHuaNtpL0/W6qjTbwbnFL9NBYk8NYlfubN6uAzCRYUA4rhrvOkLfCpayfDfor9dHOqZHtTGPBnK4Iyedbb1uW9T1hRiz7fek6i682j2bDRhnZDpCILMh82MCC+lEoC6p4UJa2uxDS0MxUEx6SNCM22cpUA7UXlWXNqQfcweNQVuaS+nxQzvc0XZBnKnnuhM3043aUZZIlmQfZ7z+GuSEwChH2+8X8VL/uI9QjUARMXW5HWc2gvCBzEelCxHX1bJ6RwVLebe5qXR6XGehKXdf1+VU31KtmOJph2o7PgmpZWXNUmNYdgwcGMShFIJFmhgB0F+0oJJnwnCnBVu/lXvMxxsHJadfuDxN9QsjkXeDm1cxFUNEMRleWRkm2hdGQIsU6kqJwOHcKIQ8JCecgDKeT/zw2qKRCAI8L0LgTWw4zWBQxo2B+kDEoXAOiGAE7kRMI0KJJ4PhxBEb84DwTDYaomMJzI5JO4dB8mebQVGyhH/JJYOqZa5VpWlpulpjB5Ioo06OW6lFb60ehEWfRwKwy5ojcNVlghH6RS6hQWYbPx5CaVgR5YRUiYOaAOym3o75mP/CPoNUoRM0IEo9J3C5zAeMaJWTBWH/Yfe4gzLGCdGgZJkUxjcE4zQdXbKazLBi7cRRqeeiM3Fgpy0A6xmTlW7oEtCwIikTyOME+mBdSj2IAmThCl8XArR7WPRRjVnbkjg7JuRirns2c6/RZg2k/nLtb99ScXTHNnFlC98Q0fyCzckR47ETKgpgRZWjrwzkHP2ojLnD7qJRIykz0pcmcgNkFA+lkod6HOHcYC8NR0g8tYJ7hY9DLWCAdQftU+g/LBlCXkHPfU+MOIZGNTMbMoVaWtsRpQDTjIRQU3Sco1ZgIC/A1s6+DKXUD0CJpptatqVklCJWbBQCR3XnRk/LvTp3ksU6pXnl6nc17eLCmz9X9Qd0EGo/NtNaft68ytcoK+2PzXrNogDUenzVv3k9X+J+bccIjqbTOffTn49gdIQmk1qFVhNd0pbzWyMTPD92sH8Q0d6hVZoWU+D2j0EV3O87BOfKjUgZ6FeYMqr40oC+jwLnz0hnAliuFEVvlZJJaceaWaPFXyhJ3zTqY2Vr9K3XyxMXBjuZiNLTDvhhgv4tcEWQidcmRE6yApZMBaDRMcqFXHG3cyHU7cbC1rcTC0anCb0PfUCWWIb0Jgz7XB0wE8geUhU1HTuVRZup5rpvZWJ4SMhe/c3JXj7PWgRt8L6sjL9RdUgZW46GGdql+uwNHCJmv0BUtFcEHi+YeY6ULLHP1lHrIcvp6iC9jZwOLOa4unT53GYQZDILckEF290VZ7Eik79KEKmXRJH1nu8O5/0vLuMG15APnL6PuixbeeZjuYGAkJDFsTo6sgA8aToWtSOp+lpelFCvoCLiHCimG3I6j6Vaz6NGImvxpDjnLaY6UMQq5AQENpMFY4crI9F0vi+6eCWPO0VF5npbpaIQP5+XR4XyuA6Ns3rSXDmpdvXKIyhuFFBpvCozaXuteqKXW3Zth4zU1zXlQrwTL0IluWIp6PouZiIUIEoOLELtNTexVJIGRdiVv4zJF42qhdfAaa/+pt6F9Co1TheYvYD/SsLTktqR64nmJzmTKF70UDjKoPGqHITXCWI9DnxqyqrI+MgIuZSRGARVm4WlBoMcy13y8ktLs1w9aytopq4kukLFF9pAYgC7bqfPUXjW+gpjMqXAdccNKYUZYEM8QqS2ynBhyKWxIBgQ9Y6oLo8hRk4nrDPSoEsLQQJrUoj5lWRBizw8zNwk0O3RknlvRw/j0vGXVhm/njnVKTI3yLJN1uaoZaLkNBq+i5bgko0KIYkzKylrieoEieyBpjh4k5ZIGma1nvsEHHELOLAhxBEpdN02kEyeuJpGNGUb+wAnHqbJspvhVWNppjtSq1JXJeKsGQhUbbmk9PbX9cXA4mRzm4/5S/gp9lvI+LIDMyfuxGYAROdL1nDBGNhxKrqHbZEHE0WtSIT10pkILQw7xg2bTO2XpyN2zI3JKRiqb684Wol4Xtp18lgbOORp7XcU1Ds6Hi56Zpn6jvdYtdu6x85wAXRQx85vqX+M5H9TOnbIo9UgUKnGWk7hLsqXkn4pKwzSpg6BOSoktOX/XrUxJr8DUKUsD7kgZSsmVssKb44EtJf8ijG8S28EhTmZWEpOGK3SgOwa/5V0aV8rSWCal9KWhKOkw8dKbGm8ryoJD0tcZlCLDUAeYHpK5ZWFdbMi2kVmbB3WlLE2zXQxzWh7vnN60X4RtowvQiox17jCKyhKUOZwO5wJpOplmHSxoQuYmMqbTZ3RzbTmvLGpbaFuBOSTE5tlNytrKvCH6AkdXQ1ez1oHlro6udNZIdNjGiSCTgTbwXXPgC2dS2Xq/svSJ3Bi8eWVBrJTla3wgcr+8KTShh5vf0AUVkTwYd2MXY2MVis1Mq0v+0dQuROim6scRSZ7XruVY+sZc2byymDNWyrL6XnFIbuxsV7MFmxNKyCTMxXgaV2VjkYcj8mw2L9BlSqUpHd8RGf44dZSaNrJOSZ1NteaCz6LnljUIs9olUt5I09e08u8WYbQgJA04wLi5E4wp8CAlxJjure7aizmQQSZM/NEyV0SM44/DIueWL3+ILCgLmu0FYR76Vnkj0wK5lsVst0Ay7DKIotxGBSjCzXKRaXYeRaK0W7Y1a68ubMefyGgj+Y0im1cWi8alPXSQAt6SiYRws/sqQUhTb8g4uEdKKRAPBTT0XDelaDIaq2akt8AiFpSl6WR49CxK7dv2vK5pmeTN3+8HecApH3MN9ImKXCY6aNEYXwpy0dwb3N3sYF5UFpVHE9tIb51T27jPYm7gD9NUMXaqUovNplcWpemwCtzWV21n5d81WVQWSNsNc5vfqqz1rIO/DZNuazgOmoxTtbSIlZQzE725OdCnrmpH67MWlcXy3A4yERa3aGsLDN4skxGVjueyZlN1Sasi68MkKTsIxXq2xPyogMzoUDemMwmQjtKae4TczFRYM/26UWGuF0l9kqRakOsAepCbdjJJLJ6LFhbzdrRMElkynSWHo7hvSQfoLbVimLfpXoguyU/RrKB8V6ZpGKZp+q6kseHY4ZQOs/xRrPwD+G4c+tD9hncQ6o3eDeqytipdLYlJfGuS1ta7oTHFBtUjLHSwM6G1awOHqFNORDlNRa3P3t7KDot/FTGv93XmzQaWjSZKV23p2JncDcyKz1y9FG0uhgDwAqTEm/r6HxMGRRBEDwWzMV1RUbteYNnbTlivFJpPXC+XKX8MYK4LDWO9qTsx3smEyBKYuN+AUYHfIxRWhNOKJtHOK0JpLLOmYMxHQZSWhZYqClXkicro+x/frICtrLvJYFfr2i21TmEY9bFiEgI+bjrD+V1RJaHaUkLM2XAG8V7SFvVyLHgM+KhqOSMMH2mxMU1T+Dy1eOGRWBbLJTEfQ8utkMbyeRSpYXHn1SQh1RTTatcK7hrMCmFeNU1VtWvnVu4e3VYtOWbIbjR8jKU3VWZW6GxGbfZfrdiXfOtG5fWC8WMFBsxRpNrtO5/eQQFAGpeB4YWlIs1zu+9vkyd7G9OWqAOj8BWY/VdPV9axu5K9HVSlATN3hdOa/V1UpWRjteSAIRhVFHv/hjJ2C422ixo+zR4M7ZbCE/PSa2BuHMz+L0/UnV4u3703RdDKDgse3UVZva8nvY0qq8PydO8b+fAned5buPuXP3ofyazU3uZh3AIQlfUS2/L45Lj5wYvj3l7vWL22d7J38hGvLsjzs97F8eaxPH1JXh4ffznemxbHaUrR9H4lveeqiFZj4r3dKutELVQ77p2e9sgfvWN18bL3Eh9Pj3vkvbpqPrBH/mPjWwrZf70lX5+ffT0+fn3x++XJ3t7Z5ZsvnbK+/NrrfXx9/PZih2Rs/8X/fdvrfbhENf2BKvud7PUuP/TI5cEe+XpAPuz13pBeU7Dw49nGsbD/94ZcfrogJ6ou2x9kb4+8/UheH7TKek5OENYZ+XOHNH//hbKb0/e93mvytdc7fd3bOzho7Ov0zYEqaveRqOqOW7H//afom9Cqz47JnwcvUTknHz++JVNl7ZHXJ+Sit2Of9cfbg97zl70T8oGc9S4RFdqSsqznF2hZx+hy0eh+Pe79ebJ5LFfK+thDA7sgl1++dcrqfSJvyePwWWd75EPvPdlrbOqi8VmIr6kHgF3w9+34rP2nzxeU9ZxcILjOsvYIGjq+s9NuiKPhBY6Gqs6YqoV78bIZdV6ixffIlzM1NuLgeNY72cZo+PH98d7F+7Pj92jp70/2Lsm3T98OPn3rqddRaThg71ZZ12srXzEc9GJXV082zgZVGbuWAne/2sK8zQvHf5LLpsjeplHcivAWNnpxNqerzRdWvZUgn5A3DTHdZQXv6/Xgb5BftgBy/+kt2mpY6ZMnrzSgqxZfbIl+LZ40cINsKuewBOXF09vlFw1AnM+VwZmJtyVfdmvOD8Bk2ztH4rs5SOqSQaSRa7NS0fWXti2M8urZVqry3FFgmHIaVsNri0T04TZK4N4iQL1UMa3vTsXybU0mQ2Xp4Ba6d7RM+qDa6Rwt5fG50pR/675MJVDZWwJKJwboYQTBtU7HPLJDZZnKqE4rV/1a6IcrhqJoS9t+adKPIzukLCLLe66Ys50ijSsFBCGliw4LbWthoTK33Wj5HEl6upViY9h+Fimpqszo1XSJQfD11KS/n0SoJVUFo+ILS29BVaAdx46+YGzlFtYo8glJR6cWqYbYWJREcT2cX8Bm7nA4ZFRt9S09Cot8j+KLyumfz0/PrqkQ9a1CD11X2LnlEDNN/ZoMfcORh1e33ZllUZ1n1Jk0RgXUzK72qbIMlRXH1nw1ps3v3UHRLQuoVpEgqQvd5JanA0BizWwL3dhuFpuZ1rmqmNq4BGiKIc65pIm6rk/JomVtWlmQn1MaD4lP9bKgpuxTjYksMmdDILbiTtgg+E0ea7rPabhc45IL1Q8XiM6sLNrGBDsZDY4ippvuaZmmBW2KEyTJsGszlu+GOqAxTdA1RdM9xySIycJiIOyYgW0sOvgN16LRhxgNEq4zl0i3is2m+EeQynBWWx3EbrajqBKIyaQtmozuiFTBNQ4Pi5tTNr0rjMalTqvSnRCLq6OoWgxuBVc1P6HazRY6DdCs+qQ95gBcYhnkhlbrNHRVuKfb8bOsO7bitTuLct4QkVGdzR8wAHFGIe76P1h32py5TGUf3iFoTYKctDu90BdMOFqauYq5F1NyCtNhO2KZqhrPIscz1aN6N1Ir1Jkqx5Cb94RG64AGlpNM2HxVOlbIPhedg6D29AyLW9gWML7YA5j3cF+LHl6Vn5nWBCCnCdIqVYNzqV3Q94+mi9fbcAcGzTmYEBW5h6ZgBJoZ0VDzOQ6XnENu+vekQiRh2PEhELSaMy1+BCC6Yz5oWXUYNG4yDhFngK3FHFUcSf0w5nOuGpGr1zWG2Ez74XQDrWmYnE5LNaLWZjXrF9YJ6nL2kjlVlnRqwcAWtdfHx9LzQ+k52UQgw41T3o9G7r26IhBRGE7EuZU48Uxb+sRhVHZ0j9ZTZVnJYZxNchGHmcxD81CUmgxsZonUmbiRK1ng4bXJDCuOjXXsjkIF4SjY4tCVSg49DQeihfSDOiIhmJKKaZUjBBrqWhQnRu7jY5b3melTGiaq6EmR+1Qm99oxxCK7rEeHbYM15c5UfRVDqoC6Q0TT/hSDLhMjSErXdTM/5whD1K5f+HhrmURxJCyYuP2MhjRBuGsYFOgzkrmkLX1Gx9gDVXdXBSWvKsep+kyunBYR6SxroKMLgdQrvRDSPM1Dxn0AGTCwqJeHULmOuJe2aCsA1CGKjxoF14cMnf6sPBvI9ilisGgR0FjETr9I+aGXmhbCsfPUjOOoSkqh216I7koGob6O9dHUJq5BzltlpepoDWY+I0ODXKVi4IiUQUftOwfPmfrNCtPk00etOY5A/VJX4PCHUn2mDUvdPBLWOKf5ZObfcdSejtgKg7oVxmgIIYoN9F2FqTU/Dr7BG4DKsxpUW0c4iXzBhmmnQ6JFTMaG5JmpX3ktfUBOMUx0O5q/kF5ic49LYj7cR8C5p49s9I1RnYhZ5QsciBY/1pKVtjbwMnG5BeCPCzPI6bthm2BTJY2BjlQZNDpTlooYs8OmamJz6cvtMULkzLyOfQd8T6/mCmitmvLZzgwZ6kaSJqRXJ0dkqVKTyjiwDi8RA/KsQ4IObPb0O1+saoA98A+gdeGMDm05MB1/rhK1vxiufv971hWhoVf3AtJMASgVqbwDMH3S+VM4J3YwzyRoqlazK3YTTE+DaOvcam2J8ZaxNR+UNDYM1h0kwW6trXGDYJyj60WY61TOKQtHGdEOlKpwD5XTKuaapnVnVkyvWyKNniyms6sHCaBZRdPEQ3OAS5xQZ9JRB90m59liUXhTDelRLXg/jiCLI82I0RQ9MDN1poTBHN4dJEGl5zFmxAWLYofX9xgdQTxLyzKVIjLJXK4UuYwB2LZC0MzICoWCGfj1ZuwBjzN1RgU0R1so/shLl1luBojhwdrCG9fJ1HTg6jSSti6AOu8jOyfpvNVjx8RGtiJemymXmq0NzRSgclwnNfuOpCKD3PP7Ri51VBY40hxrA2Zx6x65YBBS5AkasaxP56NnWqGXpSPHi93YlNwybXbkIEfmrpNzm9ZmHmdZLJv6wCx06NAsQWF4mKqmiYeaNCE9dklVAlcV/YPuvcAmhwstAh4CBalHrh4atlvxSpf4USkhTLJAJm6GXMuvLNoqy8uTkNf4MXmPRV8QpolX0oibSTSfxAKHSEBirEuX09DIkzhC0okvmJEUE7OoAst1gwjpBjrOyoRQ9yPE8PDUvRr4KtKMcW1GaxCxKS72jAzEUuiDHh7HaJZbXFBfl36lxdRXqRVBYzlAUygd/BszR+qIsCgY9MMRrfyQ5vco5ESPSgzvXBpX/Xdzc3CIodIRbWg7bgQYLoR9ir2UCWlr/apkFlJidbSFb0UDYJmNwUXFfD98uNOiJRFem5mBvspozexdL8lhRpbGaX3cMK7m+ArojpFA/1Fq7UWTWpkdJIHwBvmANqdd3GdIItRlLNJodmRhiD2DfDjQm3Cnce0dCm1aHJ5qzakWoLYJNVWWu/KcaxgToSKW2QYzSLQG2ax+qjoDJDslg4XugyPmSp7Fbw7qHzDRyMg0W8SoNxrNSogErZXdxQWtmXwxjxy9O28qGyHRGvEuJa+IRFA2x4TNCcgfLkHxALz0cOYCmB4Q0bYb3eHKEJXPasuAokNXGa22xdDapEuWa7h2xyktGpK59HtdAu7cQAzmsI0eugTE1V1n92XN8ysYbN2Y6CExRJt7RwXR8za7hQ5LhdPLgQW0yQccDafnRyiHpRIOynmsJbRfxDYOrybEGT1s6ksGbdzfnGGhDrAIQU49qJf7TA2TOrSH/rCMMYW08WXtsRbTQuj3BmSROGs7H8bPUdnMX1B1ThDa1vJ4P03R0LQvWSSl6eqV5hkVC2Vkyv76KxcCGUdUbS+NAK0mV00K02L6dOBLzsMQ+qgsU+DoK5ysUZasLEchYnwstTp09VhiTFvkPMtBBH35EDwCw2TSrB9AolVI1SNVPXakXNdnL7rkX6pHsUXNsOJ1IM24CjwrNOn6K20AyYksjEAasR9DpAYfOuhPGwzvHwVV7oOyJmcUySyvGssyqYxFobgyIk0kKxNRJFbk+sj8LFY8YDZPefJk1NqTTUQzdYh+LFyswj6VzrJqmrkW4yE/jAa+WVVeloccSlj3kg1++g7cckLOU1UB15jQqxw8LbH/yyjOlWWxYATj3Gi74YCDdHNHMPA5dkPflDTIE1u3KlHrkjqrjsi5q6h8VkhUcymilSPRAlSUu3TI7lRaZTER9oHLEMkozSMzZ/2Qa7KfR/dKj94sukvCgFIdXQI2HFRKTZ2ymOpQTuhmOcOGNgVSMqd5zvJKIlcNI1VAggeQmwHG0tKA3MFPBRA95HxDOiF5TibNPLkiWocYKKvM8qq0dZcpnZ6mozUn7HRHRMAPna1zF2Qx4RjssKLsq6QDPY0a85/mAZvzK2Yn+jCtzTWwOXBadwDQDNz0/ftDQnsKeZNHRs41MtUzxlKyshrodhaztYJendBIHRrjC9VGzGjjDGuX9UZYQEZJk2RvouqWaNHVCY3ucMEtoNKLkoybI7hUL9SVR2+ms6C/04pNESF62iQelFkdtkRrtU62c8youpFxNMzNZpUmy2uuJs27mSV3pyeUUzSruJn8oi3Rulkfm1/5x4BTBmZKvI6OYtdXnAFcOV1mcLpTZaFZGcqvT4nWLZNYG1/5p2Yph5kgTSa4zU9XqQ7qbLDpuWjM2NKK6dWCTGHAGleliJZLbpnA2XQ9eNXP3/nnVqQK84LhNAG0OgUhQqufzaFsFMF3hBXk/N2ROgUcfOLn5JYdDBvvhpSgvoAyynJZOTrN0mfIsOg5ZyaZxl47Xdrd+HXTUr0PiZadTSeoV8qml3Yz50hHas4ySxY0i3E8FM1qOuRbZgfL3MZxNjcLHRJPqBQpEq2xSW5Z4LrpU+hAhEi+DZYa1YjUlWc22T8WlIM0PrxS1iYhfBciOnVHJR4U0ZoG1SvlpkTp2oRadcTMkUXKOKOz7R20Fppbd359V0u7p4K9bzofpjJaR+TGwmlQhRt2Wc98qpkl9rr5OVFG+oPcKdv1FjseDbv5MORXSLSqI3Iz8dx4nWZSMHpULc4es2ycoPKmE9G7Wq08E0VGfZWbUetCyLWNWNsTTjK9ny6lHJkxTpxI1x2iNvDRdMPW/T1RC3E9tRCXGaVVrUrNbAuIWjF97fbYL9Px0KpMxbDMm73EdmS6EFdrlt6tYQXF/YFUp6vGW6p5/SE5amILbu22FzYLcd+d7rrJlICxmkQxoBrvclQ7FpXPssnOC79qW6va8BBRM2CCbGsD9L+40AEJfbLT3Me/jqj1pIQc/lTWnYQPD+0HTHo8elk4e0ld4M/9v42uLJLzP0XAPT3M4a/Pf2mfP/9F5fko8oeD/8G28SCBuB74f/326rfPf7/66+80sPpWXO/mnMTHLxAPB/Kzpu1/fqX99s8BRneDIH6cxcN3LxA/q+u/P//2+Z+f//n//1mKZ/kgvSVf8L9cHHV+3v5v+9rfv+3/bUROYQjjp2HdJPPJpebs812GwD/lp/yUeflvNcpk8q3qK4QAAAAASUVORK5CYII=",Python
Flask,இலகு இணைய கட்டமைப்பு,A lightweight Python web framework for building small apps.,A simple personal website backend.,சின்ன web app உருவாக்க எளிய framework.,login page backend.,,Python
Float,புள்ளி எண்,Float represents numbers with decimal points.,"3.14, 9.5",புள்ளியுடன் வரும் எண்கள் Float.,வெப்பநிலை = 36.5,https://i.ytimg.com/vi/eDq8cLtvlP8/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCSeBv3EMQcnr6WfyCnI57Wg5gdFQ,Python
For Loop,எண்ணிக்கை சுழற்சி,For loop runs code for a fixed number of times.,for i in range(5),முன்கூட்டியே தெரிந்த தடவைகள் இயங்கும் loop.,5 முறை print செய்வது.,https://media.geeksforgeeks.org/wp-content/uploads/20191101172216/for-loop-python.jpg,Python
Framework,நிரல் கட்டமைப்பு,A pre-defined structure used to build applications more efficiently.,Django web framework.,program உருவாக்க தயாராக இருக்கும் அமைப்பு.,ready-made house structure போல.,https://cdn.activestate.com/wp-content/uploads/2020/08/WebFrameworks.jpg,Python
Function,செயல்பாடு,A function is a reusable block of code that performs a task.,"def add(a,b): return a+b",ஒரே வேலை பலமுறை செய்ய பயன்படும் code தொகுதி Function.,கணக்குகளை செய்யும் function.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEE2TG9pjzgikDfW_pBCkE1-KFyYvnVGF7WQ&s,Python
Garbage Collection,நினைவக சுத்தம்,Automatically removes unused memory objects.,Deleting old variables.,பயன்படாத memory-ஐ தானாக clear செய்வது.,தேவையில்லாத file delete ஆகுவது போல.,https://www.scaler.com/topics/images/what-is-garbage-collection-in-python_thumbnail.webp,Python
Generator,உருவாக்கி,Produces values one at a time using yield.,def count(): yield 1,memory சேமித்து ஒவ்வொரு மதிப்பாக தரும் function.,number series மெதுவாக உருவாக்குதல்.,https://www.boardinfinity.com/blog/content/images/2023/05/Generator-in-Python.png,Python
Generator Expression,உருவாக்கி வெளிப்பாடு,Generates values one by one to save memory.,(x*x for x in range(5)),memory சேமித்து மெதுவாக மதிப்புகளை தருவது.,ஒரே நேரத்தில் எல்லாம் இல்லாமல் ஒவ்வொரு எண்ணாக output.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUDvzJbQjCwwjP0cKe14HvWx1w9FxeehCmjQ&s,Python
Git Integration,Git இணைப்பு,Connecting a code editor or IDE with a Git repository.,VS Code connected with GitHub.,coding tool-ஐ Git-க்கு இணைத்து update செய்வது.,cloud-க்கு file sync செய்வது போல.,,Python
HTTP Request,இணைய கோரிக்கை,A message sent from a client to a server to fetch or send data.,GET request for a webpage.,website server-க்கு data கேட்கும் முறை.,browser-ல் website open ஆகும் செயல்.,https://media.geeksforgeeks.org/wp-content/uploads/getpostRequest.png,Python
If Statement,என்றால் கட்டளை,If statement executes code when a condition is true.,if age >= 18: vote,ஒரு நிபந்தனை சரியானால் code இயங்க செய்யும் கட்டளை.,வயது 18 இருந்தால் vote செய்ய அனுமதி.,https://media.geeksforgeeks.org/wp-content/uploads/20251008151809195287/if.webp,Python
Immutable,மாற்ற முடியாதது,Objects that cannot be modified after creation.,"Tuple, string.",ஒருமுறை உருவாக்கினால் மாற்ற முடியாத data.,DOB date change செய்ய முடியாதது போல.,https://www.boardinfinity.com/blog/content/images/2023/03/Copy-of-Copy-of-Copy-of-Copy-of-Untitled-Design.png,Python
Import,ஏற்றுதல்,Import allows using code from another module.,import math,வேறு file-லுள்ள code பயன்படுத்த அனுமதிக்கும் கட்டளை.,math.sqrt() பயன்படுத்துதல்.,,Python
Indexing,இடம் அணுகல்,Accessing elements using position number.,list[0],தரவின் இட எண்ணை வைத்து மதிப்பை எடுப்பது Indexing.,முதல் உறுப்பைப் பெறுதல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTjwKlK8NE0MhanqMp1IjQL1zLnl2r2A5sXw&s,Python
Inheritance,மரபுரிமை,Inheritance allows a class to use another class’s properties.,Child class using Parent class methods.,ஒரு class மற்ற class-ன் அம்சங்களை பெறுவது.,மகன் தந்தையின் பண்புகள் பெறுவது போல.,https://www.boardinfinity.com/blog/content/images/2023/02/Inheritance-Python.png,Python
Instance,உருவாக்கம்,An instance is a specific object created from a class.,s1 = Student(),class-இல் இருந்து உருவாக்கப்பட்ட object தான் Instance.,ஒரு மாணவர் record.,,Python
Integer,முழு எண்,Integer represents whole numbers without decimals.,"5, 100, -20",புள்ளி இல்லாத முழு எண்கள் Integer.,மாணவர் எண்ணிக்கை = 40,,Python
Interpreter,உடனடி மொழிபெயர்ப்பான்,An interpreter executes code line by line instead of compiling all at once.,Python running each command immediately.,program-ஐ ஒவ்வொரு வரியாக உடனே இயக்கும் அமைப்பே Interpreter.,ஒரு வரி எழுதினதும் result உடனே வருவது.,https://dotnettrickscloud.blob.core.windows.net/article/python/4920240524231337.com-png-to-webp-converter,Python
Iterable,சுழலக்கூடிய தொகுப்பு,Object that can be iterated over.,"List, tuple, string.",loop மூலம் சுழற்றக்கூடிய object.,list of numbers.,https://media.licdn.com/dms/image/v2/D4D12AQFWUODuagrs0w/article-cover_image-shrink_720_1280/article-cover_image-shrink_720_1280/0/1678706287293?e=2147483647&v=beta&t=JWrn5wWEYGoR66Nvn1mDsQOH1CMoaYnVi1MJy8au6JM,Python
Iterator,சுழலும் பொருள்,Object used to traverse elements one by one.,Iterating through a list.,ஒவ்வொரு மதிப்பாக அணுக பயன்படும் பொருள்.,for loop access.,https://media.licdn.com/dms/image/v2/D4D12AQFWUODuagrs0w/article-cover_image-shrink_720_1280/article-cover_image-shrink_720_1280/0/1678706287293?e=2147483647&v=beta&t=JWrn5wWEYGoR66Nvn1mDsQOH1CMoaYnVi1MJy8au6JM,Python
JSON,தரவு வடிவமைப்பு கோப்பு,A lightweight data-interchange format that is easy for humans to read and write.,"{""name"":""Siva"", ""age"":25}",data அனுப்ப பயன்படுத்தப்படும் எளிய format.,form fill data server-க்கு போவது.,,Python
Jupyter Notebook,தொடர்பு நிரல் சூழல்,Interactive environment for running code with outputs and notes.,ML experiments in a notebook.,code + result + explanation ஒரே இடத்தில் செய்யும் tool.,digital lab notebook போல.,,Python
Keras,எளிய DL interface,Simplifies neural network creation by acting as an interface.,Building a CNN in few lines of code.,deep learning model எளிதாக உருவாக்க உதவும் tool.,simple AI model build.,https://cdn.activestate.com/wp-content/uploads/2021/05/What-is-a-Keras-Model-1.jpg,Python
Kernel,இயக்க இயந்திரம்,The computational engine that executes code inside a notebook.,Python kernel running cells.,code ஓட வைக்கும் engine.,car engine போல.,,Python
